stock_code,trading_days,date_span,completeness,max_gap,extreme_changes,max_zero_streak,avg_volume,start_date,end_date,score
688202.SH,970,1457,0.665751544269046,11.0,1,0,10526.932989690722,2020-01-02,2023-12-29,586.7150890980736
600671.SH,970,1457,0.665751544269046,11.0,0,1,10449.320618556701,2020-01-02,2023-12-29,586.7136092279816
688369.SH,970,1457,0.665751544269046,11.0,2,0,10316.596907216495,2020-01-02,2023-12-29,586.7110528711753
603868.SH,970,1457,0.665751544269046,11.0,0,0,10100.742268041236,2020-01-02,2023-12-29,586.7068242783047
603031.SH,970,1457,0.665751544269046,11.0,0,0,10082.388659793814,2020-01-02,2023-12-29,586.7064605726964
688366.SH,970,1457,0.665751544269046,11.0,4,0,10005.032989690722,2020-01-02,2023-12-29,586.7049203381636
688358.SH,970,1457,0.665751544269046,11.0,1,0,9938.388659793814,2020-01-02,2023-12-29,586.703583799301
688333.SH,970,1457,0.665751544269046,11.0,5,0,9749.123711340206,2020-01-02,2023-12-29,586.6997386908076
688310.SH,970,1457,0.665751544269046,11.0,2,0,9719.776288659794,2020-01-02,2023-12-29,586.6991357922276
603813.SH,970,1457,0.665751544269046,11.0,0,0,9604.253608247423,2020-01-02,2023-12-29,586.6967447360825
300557.SZ,970,1457,0.665751544269046,11.0,1,0,9444.70412371134,2020-01-02,2023-12-29,586.6933947057662
603991.SH,970,1457,0.665751544269046,11.0,0,0,9192.572164948453,2020-01-02,2023-12-29,586.6879836085819
688020.SH,970,1457,0.665751544269046,11.0,2,0,9182.528865979382,2020-01-02,2023-12-29,586.6877650039183
603755.SH,970,1457,0.665751544269046,11.0,0,0,9152.51443298969,2020-01-02,2023-12-29,586.6871102754694
300789.SZ,970,1457,0.665751544269046,11.0,3,0,9141.79793814433,2020-01-02,2023-12-29,586.6868759879069
300321.SZ,970,1457,0.665751544269046,11.0,2,0,9059.742268041236,2020-01-02,2023-12-29,586.685072905101
688021.SH,970,1457,0.665751544269046,11.0,5,0,8738.343298969072,2020-01-02,2023-12-29,586.6778497060386
603661.SH,970,1457,0.665751544269046,11.0,0,8,8599.309278350516,2020-01-02,2023-12-29,586.6746423291956
688168.SH,970,1457,0.665751544269046,11.0,1,0,8302.727835051546,2020-01-02,2023-12-29,586.6676236062981
688016.SH,970,1457,0.665751544269046,11.0,1,0,8277.588659793815,2020-01-02,2023-12-29,586.6670171965839
603489.SH,970,1457,0.665751544269046,11.0,0,0,7809.715463917526,2020-01-02,2023-12-29,586.6553820098237
688023.SH,970,1457,0.665751544269046,11.0,1,0,7773.423711340206,2020-01-02,2023-12-29,586.6544505630714
300553.SZ,970,1457,0.665751544269046,11.0,2,0,7762.044329896908,2020-01-02,2023-12-29,586.6541576097163
300492.SZ,970,1457,0.665751544269046,11.0,4,3,6726.924742268041,2020-01-02,2023-12-29,586.6255360435247
688058.SH,970,1457,0.665751544269046,11.0,4,0,6389.064948453608,2020-01-02,2023-12-29,586.6152315826363
688188.SH,970,1457,0.665751544269046,11.0,1,0,5941.038144329897,2020-01-02,2023-12-29,586.6006931354458
688198.SH,970,1457,0.665751544269046,11.0,1,0,4611.8257731958765,2020-01-02,2023-12-29,586.5500508231949
300695.SZ,970,1457,0.665751544269046,11.0,0,0,4157.4639175257735,2020-01-02,2023-12-29,586.529311847251
603960.SH,969,1456,0.665521978021978,11.0,0,1,37736.884416924666,2020-01-03,2023-12-29,586.4359806554099
600265.SH,970,1457,0.665751544269046,11.0,0,1,2592.494845360825,2020-01-02,2023-12-29,586.4348839616102
600538.SH,968,1453,0.666207845836201,11.0,0,1,107558.1208677686,2020-01-06,2023-12-29,586.2483360628175
002973.SZ,968,1453,0.666207845836201,11.0,0,0,27240.56508264463,2020-01-06,2023-12-29,585.9736767182146
300269.SZ,967,1452,0.6659779614325069,11.0,4,1,188031.5873836608,2020-01-07,2023-12-29,585.8255683276636
688181.SH,968,1453,0.666207845836201,11.0,1,0,11673.57438016529,2020-01-06,2023-12-29,585.8042106006725
688081.SH,968,1453,0.666207845836201,11.0,2,0,9752.272727272728,2020-01-06,2023-12-29,585.7682485098311
002552.SZ,967,1452,0.6659779614325069,11.0,0,9,35264.99276111685,2020-01-07,2023-12-29,585.4908290950165
002971.SZ,963,1446,0.6659751037344398,11.0,0,0,29023.869158878504,2020-01-13,2023-12-29,583.4514472199018
600319.SH,962,1445,0.6657439446366782,11.0,0,1,37122.24012474012,2020-01-14,2023-12-29,582.9659913896885
688178.SH,962,1445,0.6657439446366782,11.0,1,10,5890.285862785863,2020-01-14,2023-12-29,582.5978376086389
601816.SH,960,1443,0.6652806652806653,11.0,0,0,778513.7635416667,2020-01-16,2023-12-29,582.5051284389324
603551.SH,961,1444,0.6655124653739612,11.0,0,0,23764.442247658688,2020-01-15,2023-12-29,582.3420673657095
600215.SH,960,1443,0.6652806652806653,11.0,0,1,70729.95729166667,2020-01-16,2023-12-29,582.0254275169775
688278.SH,959,1442,0.6650485436893204,11.0,2,0,19209.781021897812,2020-01-17,2023-12-29,581.229926935795
688100.SH,957,1438,0.6655076495132128,11.0,2,0,24109.472309299894,2020-01-21,2023-12-29,580.3442277391322
688026.SH,956,1437,0.6652748782185108,11.0,2,0,14225.4089958159,2020-01-22,2023-12-29,579.703802793729
300815.SZ,955,1436,0.665041782729805,11.0,1,0,23367.45340314136,2020-01-23,2023-12-29,579.2680958587939
688266.SH,955,1436,0.665041782729805,11.0,2,0,20246.069109947643,2020-01-23,2023-12-29,579.2394204748205
688159.SH,955,1436,0.665041782729805,11.0,4,0,16050.75497382199,2020-01-23,2023-12-29,579.1929821028195
